listing_id,room_type,property_type,accommodates,bedrooms,minimum_nights,maximum_nights,instant_bookable,bathrooms,is_superhost,count,name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,sum_future_available_days_30d,avg_future_available_days_30d,high_demand_proxy,cutoff_date,version
49940274,Private room,Room in hotel,0.13333333333333333,0.058823529411764705,0.0,0.3193950177935943,True,1,False,7,Oud-Oost,21.0,21.0,151.0,36,0.3956043956043956,1.010989010989011,1000.0,16,0.5161290322580645,1.0,1000.0,15,0.5,0,2025-12-10,v1
49940338,Private room,Room in hotel,0.06666666666666667,0.058823529411764705,0.0,0.3193950177935943,True,1,False,7,Oud-Oost,3.0,3.0,1569.0,43,0.4725274725274725,1.010989010989011,1000.0,26,0.8387096774193549,1.0,1000.0,23,0.7666666666666667,0,2025-12-10,v1
49940408,Private room,Room in hotel,0.06666666666666667,0.058823529411764705,0.0,0.3193950177935943,True,1,False,7,Oud-Oost,4.0,4.0,1078.0,65,0.7142857142857143,1.010989010989011,1000.0,27,0.8709677419354839,1.0,1000.0,28,0.9333333333333333,0,2025-12-10,v1
49944795,Entire home/apt,Entire rental unit,0.2,0.058823529411764705,0.001,0.016903914590747332,False,1,False,1,Bos en Lommer,10.0,10.0,598.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,0,0.0,1,2025-12-10,v1
50028362,Entire home/apt,Entire rental unit,0.06666666666666667,,0.001,0.0008896797153024911,False,1,False,1,De Baarsjes - Oud-West,27.0,27.0,586.0,0,0.0,2.0,2.0,0,0.0,2.0,2.0,0,0.0,1,2025-12-10,v1
50040615,Entire home/apt,Entire condo,0.2,0.11764705882352941,0.002,0.009786476868327402,False,2,False,1,De Baarsjes - Oud-West,20.0,20.0,176.0,0,0.0,3.0,12.0,0,0.0,3.0,12.0,0,0.0,1,2025-12-10,v1
50066959,Entire home/apt,Entire home,0.3333333333333333,0.17647058823529413,0.001,0.011565836298932384,False,1.5,False,1,Noord-West,5.0,5.0,423.0,11,0.12087912087912088,2.076923076923077,14.0,0,0.0,2.0,14.0,0,0.0,1,2025-12-10,v1
50076767,Entire home/apt,Entire condo,0.06666666666666667,0.058823529411764705,0.002,0.025800711743772242,False,1,False,2,De Baarsjes - Oud-West,13.0,13.0,555.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,0,0.0,1,2025-12-10,v1
50079799,Entire home/apt,Entire loft,0.06666666666666667,0.058823529411764705,0.002,0.025800711743772242,False,1,False,2,De Baarsjes - Oud-West,5.0,5.0,521.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,0,0.0,1,2025-12-10,v1
50081646,Entire home/apt,Houseboat,0.06666666666666667,0.058823529411764705,0.002,0.04359430604982206,False,1.5,False,1,Centrum-West,24.0,24.0,95.0,0,0.0,2.0,50.0,0,0.0,2.0,50.0,7,0.23333333333333334,1,2025-12-10,v1
